case_id,variant,service,attack_type,attack_severity,rho,mask_id,scenario_name,scenario_path,preferred_recovery_action,primary_model,fallback_model,recovery_success,recovery_strategy,replanned,trusted_service_restore_sec,preferred_restore_sec,planning_overhead_sec,repeated_work_sec,n_assignments,ablation_failure_reason
rq3f_00269,full_replica,detection,pgd,0.0,0.8,8,rho_0.800_mask_08,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_08.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00273,full_replica,detection,pgd,0.0,0.8,9,rho_0.800_mask_09,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_09.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00277,full_replica,detection,pgd,0.0,0.8,10,rho_0.800_mask_10,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_10.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00281,full_replica,detection,pgd,0.0,0.8,11,rho_0.800_mask_11,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_11.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00285,full_replica,detection,pgd,0.0,0.8,12,rho_0.800_mask_12,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_12.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00289,full_replica,detection,pgd,0.0,0.8,13,rho_0.800_mask_13,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_13.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00293,full_replica,detection,pgd,0.0,0.8,14,rho_0.800_mask_14,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_14.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00297,full_replica,detection,pgd,0.0,0.8,15,rho_0.800_mask_15,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_15.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00301,full_replica,detection,pgd,0.0,0.8,16,rho_0.800_mask_16,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_16.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00305,full_replica,detection,pgd,0.0,0.8,17,rho_0.800_mask_17,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_17.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00309,full_replica,detection,pgd,0.0,0.8,18,rho_0.800_mask_18,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_18.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
